dataset,model_key,battery,noise_type,noise_rate,loss,loss_value,acc_clean_labels,acc_noisy_labels,q
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.2,GCE(q=0.7),1.044537187,0.199166667,0.195833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.2,TruncGCE,1.044537187,0.199166667,0.195833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.2,SCE,7.970585823,0.199166667,0.195833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.2,SDIV,2.603042126,0.199166667,0.195833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.2,ForwardT,1.910342097,0.199166667,0.195833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.2,ForwardThat,1.901300311,0.199166667,0.195833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.4,CCE,1.934314609,0.199166667,0.180833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.4,MAE,0.8481251,0.199166667,0.180833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.4,GCE(q=0.7),1.050632954,0.199166667,0.180833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.4,TruncGCE,1.050632954,0.199166667,0.180833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.4,SCE,8.004952431,0.199166667,0.180833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.4,SDIV,2.624712706,0.199166667,0.180833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.4,ForwardT,1.927503943,0.199166667,0.180833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.4,ForwardThat,1.907284379,0.199166667,0.180833333,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.6,CCE,1.946469545,0.199166667,0.16,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.6,MAE,0.850413144,0.199166667,0.16,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.6,GCE(q=0.7),1.054403663,0.199166667,0.16,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.6,TruncGCE,1.054403543,0.199166667,0.16,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.6,SCE,8.027241707,0.199166667,0.16,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.6,SDIV,2.638445377,0.199166667,0.16,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.6,ForwardT,1.936378002,0.199166667,0.16,
DermaMNIST,MedSigLIP,B-Uniform,Uniform,0.6,ForwardThat,1.912676692,0.199166667,0.16,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.1,CCE,1.890720844,0.199166667,0.1975,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.1,MAE,0.841734231,0.199166667,0.1975,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.1,GCE(q=0.7),1.03938508,0.199166667,0.1975,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.1,TruncGCE,1.03938508,0.199166667,0.1975,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.1,SCE,7.941730022,0.199166667,0.1975,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.1,SDIV,2.584758759,0.199166667,0.1975,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.1,ForwardT,1.893635869,0.199166667,0.1975,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.1,ForwardThat,1.895227075,0.199166667,0.1975,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.2,CCE,1.907986403,0.199166667,0.1875,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.2,MAE,0.844160557,0.199166667,0.1875,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.2,GCE(q=0.7),1.043714643,0.199166667,0.1875,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.2,TruncGCE,1.043714643,0.199166667,0.1875,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.2,SCE,7.965805531,0.199166667,0.1875,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.2,SDIV,2.60006237,0.199166667,0.1875,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.2,ForwardT,1.917258382,0.199166667,0.1875,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.2,ForwardThat,1.900644183,0.199166667,0.1875,
DermaMNIST,MedSigLIP,B-ClassDep,ClassDep,0.3,CCE,1.927081466,0.199166667,0.175,
