dataset,model_key,loss,noise_type,noise_rate,loss_mean,acc_clean,acc_noisy
PathMNIST,CLIP,TruncGCE,Uniform,0.6,1.12238729,0.181666667,0.139166667
PathMNIST,MedSigLIP,CCE,ClassDep,0.1,2.209717274,0.23,0.211666667
PathMNIST,MedSigLIP,CCE,ClassDep,0.2,2.249665022,0.23,0.19
PathMNIST,MedSigLIP,CCE,ClassDep,0.3,2.287298679,0.23,0.169166667
PathMNIST,MedSigLIP,CCE,ClassDep,0.4,2.314059734,0.23,0.151666667
PathMNIST,MedSigLIP,CCE,Clean,0,2.160915136,0.23,0.23
PathMNIST,MedSigLIP,CCE,Uniform,0,2.160915136,0.23,0.23
PathMNIST,MedSigLIP,CCE,Uniform,0.2,2.248323917,0.23,0.200833333
PathMNIST,MedSigLIP,CCE,Uniform,0.4,2.309782267,0.23,0.175833333
PathMNIST,MedSigLIP,CCE,Uniform,0.6,2.377760887,0.23,0.171666667
PathMNIST,MedSigLIP,ForwardT,ClassDep,0.1,2.186960936,0.23,0.211666667
PathMNIST,MedSigLIP,ForwardT,ClassDep,0.2,2.206338882,0.23,0.19
PathMNIST,MedSigLIP,ForwardT,ClassDep,0.3,2.222732782,0.23,0.169166667
PathMNIST,MedSigLIP,ForwardT,ClassDep,0.4,2.242941141,0.23,0.151666667
PathMNIST,MedSigLIP,ForwardT,Uniform,0,2.160915136,0.23,0.23
PathMNIST,MedSigLIP,ForwardT,Uniform,0.2,2.168821335,0.23,0.200833333
PathMNIST,MedSigLIP,ForwardT,Uniform,0.4,2.16923213,0.23,0.175833333
PathMNIST,MedSigLIP,ForwardT,Uniform,0.6,2.179363966,0.23,0.171666667
PathMNIST,MedSigLIP,ForwardThat,ClassDep,0.1,1.95138967,0.23,0.211666667
PathMNIST,MedSigLIP,ForwardThat,ClassDep,0.2,1.964816332,0.23,0.19
PathMNIST,MedSigLIP,ForwardThat,ClassDep,0.3,1.978841186,0.23,0.169166667
PathMNIST,MedSigLIP,ForwardThat,ClassDep,0.4,1.987891912,0.23,0.151666667
PathMNIST,MedSigLIP,ForwardThat,Uniform,0.2,1.959053159,0.23,0.200833333
PathMNIST,MedSigLIP,ForwardThat,Uniform,0.4,1.973667502,0.23,0.175833333
PathMNIST,MedSigLIP,ForwardThat,Uniform,0.6,1.996445417,0.23,0.171666667
PathMNIST,MedSigLIP,GCE(q=0.7),ClassDep,0.1,1.077207208,0.23,0.211666667
PathMNIST,MedSigLIP,GCE(q=0.7),ClassDep,0.2,1.085932851,0.23,0.19
